테마이름,테마소개,장르,소속지점,이미지경로
단잠,"몸도 마음도 지친 퇴근길, 지하철역에서 마주한 낯선 포스터 하나. 지친 당신에게 위로가 될 피아노 콘서트 : 단잠. 지금 시작합니다.",감성,셜록홈즈 잠실2호,http://sherlock-holmes.co.kr/attach/theme/15614261891.jpg
랑슈 뷰티연구소,당신의 아름다움을 찾아드립니다.,드라마,셜록홈즈 잠실2호,http://sherlock-holmes.co.kr/attach/theme/15610958651.jpg
기묘한 방탈출,넷플릭스 인기 시리즈 <기묘한이야기> 시즌3의 7월 4일 공개를 기념하여 <기묘한 이야기> 팝업존 ‘기묘한 세계’로 여러분을 초대합니다.,판타지,셜록홈즈 홍대팝업스토어,http://sherlock-holmes.co.kr/attach/theme/15598933441.png
170cm즈음에,이 이야기가 감히 당신의 반면교사가 되었으면 좋겠습니다.,,셜록홈즈 ,http://sherlock-holmes.co.kr/attach/theme/15512484911.jpg
마에스트로,서대문 경찰서의 신참인 당신은 선배의 월차로 인해서 선배가 맡았던 사건인 신촌역에서 소란을 피우는 노인을 대신 조사하게 된다. 10년이 넘게 신촌 만남의 장소에서 기타 치는 노인은 이번이 처음 온 게 아닌 수 차례 소란을 피웠다는 사실을 알게 되고 이 노인을 조사하게 되는데…,,셜록홈즈 ,http://sherlock-holmes.co.kr/attach/theme/15502139311.jpg
[NEW]나쁜놈 나쁜놈 나쁜놈,엘파소 최대 갱단 보스 플로이드가 보안관들에게 잡혀 교수형에 처하게됬다. 방금 임무를 마치고 돌아온 조직원 브라이언은 뜻밖의 소식에 교수형 현장으로 달려간다. (나쁜놈 나쁜놈 나쁜놈 문제 리뉴얼 버전입니다),어드벤처,셜록홈즈 부평,http://sherlock-holmes.co.kr/attach/theme/15446918861.jpg
노량진 고시생의 사랑-여자편,"안녕? 난 노량진에서 고시 공부중인 김민지라고 해! 계속되는 불합격 소식과 생활고로 인해 힘들고 우울한 날이 계속 되지만 유일한 가족인 소중한 엄마와, 7년동안 사귄 멋진 남자친구가 있어 버틸만 해! 오늘은 내 29번째 생일이야. 평소같은 나날을 보내다 내 반지하 고시원에 들어간 순간 ‘어머나!’ 깜짝 놀랬어. 내 이야기를 한번 들어 보겠니..?",드라마감성,셜록홈즈 노량진점외,http://sherlock-holmes.co.kr/attach/theme/15375002701.jpg
어린왕자,"장미와 다툰 뒤, 생각할 시간을 갖기 위해 여행을 떠나는 어린왕자. 항해 도중 연료가 부족해 지구의 어느 사막에 불시착하게 된다. 연료를 구하기 위해 이리저리 사막을 탐험하던 중 예기치 않는 상황을 조우하게 되는데...",감성SF,셜록홈즈 노량진점외,http://sherlock-holmes.co.kr/attach/theme/15330166641.jpg
프로젝트:노아,전 인류가 멸망의 위기에 처했다. 급격한 인구증가로 인한 자연재해. 전쟁. 이 문제를 해결하기 위해 어떠한 단체에서 프로젝트를 진행했지만 알 수 없는 이유로 중단되게 되었다. 당신은 비밀리에 이 프로젝트를 완료하라는 임무를 받고 해저기지에 잠입하게 되는데.. 과연 당신은 성공적으로 완료할 수 있을것인가?,SF드라마,셜록홈즈 노량진점외,http://sherlock-holmes.co.kr/attach/theme/15330165001.jpg
보헤미아 왕국의 스캔들,보헤미아의 왕과 스칸디나비아 공주의 결혼. 그러나 가수 아이린과의 스캔들로 인해 공주 가문과의 파혼을 걱정하는 왕은 결국 탐정 셜록홈즈에게 그녀에게서 그와 관련된 흔적들을 지워달라 요청하는 데.. 수사 의뢰를 받고 사진을 비롯한 흔적들을 지우기 위해 나서는 셜록홈즈..그러나 뜻 밖의 아이린의 결혼 사실을 알게 되고.. 그는 과연 사건을 해결할 수 있을까?,드라마,셜록홈즈 강남2호외,http://sherlock-holmes.co.kr/attach/theme/15223022191.jpg
지옥의 라이더,평소 열혈배달부로 소문난 김모군. 아주머니로 부터 아들 생일 날 된장국을 식지 않게 배달해 줄 것을 요청받는다. 고객 이모솔의 집에 방문해보니.... 된장국을 왜 먹지를 못하누ㅠ.ㅠ 배달부의 사명을 위해 지옥까지 쫓아간다! 본격 코믹호러힐링감동대서사시!,판타지,셜록홈즈 인천구월외,http://sherlock-holmes.co.kr/attach/theme/15045941311.jpg
[대형 프리미엄테마] 잭더리퍼,"[이 테마는 60분 일반테마입니다] 1888년 런던. 대불황, 그리고 대혼돈 속 나의 유일한 낙은 메리를 만나는 일이었다. 그녀에게 가까워질수록 점점 그녀의 깊은 부분까지 알게 되고 힘든 날들을 살아가는 그녀를 나는 더이상 내버려 둘 수 없게 된다. 하지만 언제부터였을까 그녀를 거리에서 만날 수 없게 되고, 걱정스런 마음에 나는 그녀를 찾아 그녀가 사는 곳으로 향한다.",드라마,셜록홈즈 홍대점,http://sherlock-holmes.co.kr/attach/theme/15727596211.jpg
미녀와야수2,"야수와 미녀의 해피엔딩으로 끝난줄 만 알았던 동화속 야수의 성에서 살인사건이 발생했다. 피해자는 바로 성주인 ‘야수’. 사건 현장을 본 벨의 사촌동생 루시는 현장을 살펴보고 주변인들의 증언을 통해 야수의 부인 벨 , 성의 요리사 스타곤, 성의 하인 미세스팟, 그리고 미녀의 아버지 모리스등 네 명을 용의자로 지목한다. 과연 성주인 ‘야수’를 죽인 범인은?",,셜록홈즈 ,http://sherlock-holmes.co.kr/attach/theme/15508014821.jpg
사각사각,"피노키오의 아버지 제페토. 그는 살아있는 나무인형 제작에 성공했으나 제멋대로 행동하는 피노키오를 실패작이라 여겼다. 실패의 이유를 재료 탓이라 여긴 그는 최상의 재료를 물색하던 중 지하 무덤을 발견하게 되는데… 매장된 지 얼마 안 된 신선한 시체들 중 우수한 신체들을 맞추며 ‘사각사각’ 소리와 함께 미친 듯이 작업을 하는 제페토, 그의 미친 행동을 막아야한다.",,셜록홈즈 ,http://sherlock-holmes.co.kr/attach/theme/15507384891.jpg
스쿨 오브 락,세계적인 명문 방 탈출 학교 School Of Lock! 그곳에 입학 신청서를 낸 당신은 서류전형에 합격하고 입학시험을 보기 위해 학교를 방문하게 된다. 어렵기로 유명한 입학시험. 교장선생님이 심혈을 기울여 만든 문제들과 선배들의 환영인사를 무사히 해결하고 입학시험에 합격해 school of lock 에 입학할 수 있을 것인가,,셜록홈즈 ,http://sherlock-holmes.co.kr/attach/theme/15502140471.jpg
환상 서유기,"먼 옛날 천계를 소란케 하여 500년동안 오행산에 갇혀 있던 손오공을 구하고, 세상을 어지럽히는 요괴들을 물리치며 경전을 구해오기 위해 서쪽으로 떠나는 삼장법사의 이야기. 원작의 느낌이 현대적으로 각색된 환상서유기가 여러분들을 기다립니다.",,셜록홈즈 ,http://sherlock-holmes.co.kr/attach/theme/15476042301.jpg
괴도 루키,최고의 도둑단체 루팡클럽에 입단한 당신은 아직 새내기 루키등급이다. 첫 실전때는 선배와 함께 하며 교육을 받았지만 이번엔 모든 것을 혼자 진행해야 한다! 이 것만 잘 해내면 프로등급이 될 수 있다고 하는데... 지금은 루키지만 언젠가는 나도 괴도가 될 수 있겠지?,,셜록홈즈 ,http://sherlock-holmes.co.kr/attach/theme/15470897321.jpg
만나서 반가워,"학교폭력 피해로 자퇴를 한 남자. 자퇴 이후 우울증으로 근 1년간 집 밖으로 나가지 않은 채 게임과 영화에 빠져 살던 어느 날, 평소보다 더 심한 우울감으로 잠을 이룰 수 없자 수면제를 먹고 잠에 들기에 이른다. 그러자 꿈속에서 현실과 비슷하지만 무언가 다른 느낌의 동네, 언제 생긴지도 모르는 건물이 보이자 호기심에 들어가게 되는데...",,셜록홈즈 ,http://sherlock-holmes.co.kr/attach/theme/15428711251.jpg
적벽전야,"천하통일을 향해 거침없는 행보를 보이는 조조와 그에 밀려 유랑군이 되어버린 유비일행. 조조와 싸울 힘이 부족한 유비군은 근처의 손권군에게 동맹을 요청하게 된다. 동맹의 군사로서 오에 들어간 제갈량은 뛰어난 언변과 계략으로 책사들 사이에서 주도권을 잡게 되나, 출진이 가까워져 시상으로 이동 하자마자 주유의 견제를 받아 객실에 유폐되고 말았다. 감시가 계속되자 제갈량은 결국 안부를 물으로 온 형 제갈근에게 조심스럽게 서찰을 넘겨주는데...",,셜록홈즈 ,http://sherlock-holmes.co.kr/attach/theme/15420171931.jpg
빛과 그림자:화이트의죽음2,"옐로우는 감옥에 가고, 사건은 영원히 종결된 것만 같았다. 이미 30대 때 세계적인 작가가 된 화이트, 그의 옆에는 그림자와 같은 존재인 블랙이 있었다. 그는 일평생을 천재작가의 그늘에서 사는데.. 전세계 독자들을 슬프게 만든 화이트의 죽음, 그 뒤로 언젠가부터 블랙의 소식도 사라지게 되고. 블랙은 금세 사람들의 기억에서 지워져 버렸지만 당신은 왠지 이 사건이 화이트의 죽음과 무관하지 않을 거란 생각이 들어, 화이트의 방을 다시 조사하기 시작한다.",,셜록홈즈 ,http://sherlock-holmes.co.kr/attach/theme/15302596301.jpg
미녀와야수,벨의 아버지는 딸에게 줄 장미를 꺾은 죄로 야수의 성에 갖히게된다. 아버지를 구하기 위해 야수의 성을 찾아가는 벨 야수의 성에는 놀라운 비밀이 있는데.. 비밀을 밝혀내는 과정에서 야수와의 사랑에 빠지게 되고 과연 두사람은 역경을 겪어내고 사랑의 결실을 이룰수 있을까? 원작의 스토리에 충실한 영화형 방탈출카페가 여러분을 기다립니다.,,셜록홈즈 ,http://sherlock-holmes.co.kr/attach/theme/15268939671.jpg
호텔:사라진 다이아몬드,"설록호텔의 귀중품 대형 다이아몬드 ‘가이아의축복’이 사라졌다. 호텔내부 사람 말고는 출입을 못하는 곳인데.. 과연, 누가 이곳에서 범행을 저질렀을까? 당신은 설록호텔의 귀중품 대형다이아몬드를 훔친 범인을 한시간 안에 찾아내야한다.",,셜록홈즈 ,http://sherlock-holmes.co.kr/attach/theme/15234169491.jpg
꼭두각시,평범한 가정집의 한 소녀는 평범하지 못한 삶을 살았다. 어린소녀에게 부모님은 가혹할 정도로 교육을 시키고 결국 소녀는 두 눈이 멀게 된다. 자신의 두 눈을 멀게 한 두 부모님을 증오하며 자살을 선택한 소녀는 원한을 품은 귀신이 되어 이 집에 저주를 내렸는데... 유능한 퇴마사인 당신은 1시간동안 원령과 만나는 주술을 사용해 소녀의 원한을 풀고 이 집의 저주를 풀 수 있을 것 인가?,,셜록홈즈 ,http://sherlock-holmes.co.kr/attach/theme/15172835011.jpg
무속인 살인사건,"TV에 출연할 정도로 유명한 무속인 이 어느 날 싸늘한 시체로 발견? 피해자는 TV에 출연하여 화려한 달변과 점술로 유명해진 박수무당으로, 어느 날 자신의 점집에서 잘린 머리가 불에 탄 채 단골 고객에게 발견되었다. 과연 어떠한 연유로 박무당 은 죽음을 맞이해야 했는가? 빛나는 추리로 진실을 파헤쳐 보자.",,셜록홈즈 ,http://sherlock-holmes.co.kr/attach/theme/15138466051.jpg
혼:원혼의저주,12년 전 문을 닫은 폐병원. 그 곳에 들어간 사람들중 누구도 살아서 나오지 못했다는 흉흉한 소문에 궁금증이 생긴 당신. 인적이 끊긴 병원에 찾아가보기로 하는데... 병원 입구에서부터 풍기는 오싹하고 음침한 기운. 들어가자마자 갇히고 만다. 당신은 원혼의 저주를 풀고 이 곳에서 빠져나갈 수 있을 것인가?,,셜록홈즈 ,http://sherlock-holmes.co.kr/attach/theme/15108152571.jpg
19금 섹마술:욕정의마법,탐욕과 색기가 가득한 섹마술의 마법사 코추부라르. 평화롭던 왕국의 남자들은 세상 모든 여자를 차지하고픈 마법사 코추부라르로 인해 슬픈 마법에 걸리고 마는데... 코추부라르의 왕국에서 섹마술의 저주를 풀 수 있는 자는 오직 당신!,,셜록홈즈 ,http://sherlock-holmes.co.kr/attach/theme/14989932481.jpg
파라오의 비밀,가장많은 재보를 가졌던 람세스3세의 보물을 얻기위해 시간여행을 떠난 당신. 부와 명예를 얻고 무사히 탈출 할수 있을것인가?,,셜록홈즈 ,http://sherlock-holmes.co.kr/attach/theme/14899867931.jpg
시간을 멈추는 소년,셜록홈즈 최고의 야심작! 방탈출 업게 최초의 섹시 코미디!! 시간이 딱 한 시간만 멈춘다면? 스무살 모태솔로인 당신은 입대를 앞두고 기도를 한다. 여자~~ 여자~~ 하느님이 당신의 소원을 들어주어 기적이 일어났다. 신촌거리!! 시간이 한 시간동안 멈추었고 오직 당신만 움직일 수 있다. 당신이 평생 꿈꾸었던 야한 행동! 지금 시작하라!! 아이스께끼~~,,셜록홈즈 ,http://sherlock-holmes.co.kr/attach/theme/14861175101.jpg
수상한 정신병원,"정신병원 의사는 정상적인 사람을 정신병 환자로 취급해 무조건 병원으로 입원을 시킨다. 환자들에 대한 면회를 금지시키고, 여러가지 실험을 하면서 점점 미쳐가는 의사. 당신도 이 정신병원에 끌려와 감금당했다. 비밀의 주사를 투여받으면 살아 돌아갈 수 없다. 의사가 잠시 자리를 비운 사이, 바로 지금 탈출해야한다!",,셜록홈즈 ,http://sherlock-holmes.co.kr/attach/theme/14861123571.jpg
