region,name,loc,genre,star,difficulty,type,activeness,avail_people_lists[1],avail_people_lists[2],avail_people_lists[3],avail_people_lists[4],,,type,
홍대,서커스:공중그네,이스케이퍼스 1호점,공포,3.4,3,3,2,2 people,3 people,,,,,,
홍대,싸이코메트리,이스케이퍼스 1호점,스릴러,3.9,4,1,1,2 people,3 people,,,,,,
홍대,조난자들,시크릿코드 홍대점,스릴러,2.2,3,1,1,2 people,3 people,,,,,,
홍대,호쿠스 1-마술사의 방,브레이크아웃 이스케이프 홍대점,추리,3,3,2,1,2 people,3 people,,,,,,
홍대,나이트 마켓,더큐 이스케이프 홍대입구역점,잠입,2.4,3,1,1,3 people,,,,,,,
홍대,백마교의 최후,시크릿코드 홍대점,범죄,2.3,2,1,2,2 people,3 people,,,,,,
홍대,knock knock,덤앤더머 홍대점,?,3.2,3,2,2,3 people,4 people,,,,,,
홍대,파노라마,셜록홈즈 홍대점,드라마,3.2,3,2,1,2 people,3 people,,,,,,
홍대,버지니아 란제리샵,엑스케이프 홍대점,19금,2.8,3,1,2,2 people,3 people,,,,,,
홍대,멍스타그램,이스케이퍼스 2호점,드라마,3.7,3,2,3,2 people,3 people,4 people,,,,,
홍대,LIVE,이스케이퍼스 1호점,공포,3.7,4,3,1,2 people,3 people,,,,,,
홍대,구미호: 호령마을 미스테리,리얼이스케이프 첼린지,스릴러,2.5,3,1,1,2 people,3 people,,,,,,
홍대,B 미술학원 13호실,마스터키 홍대점,공포,3.2,3,1,1,2 people,3 people,,,,,,
홍대,붉은머리연맹,이스케이퍼스 1호점,추리,3.4,3,2,2,2 people,3 people,4 people,,,,,
홍대,타워링,큐브 이스케이프 홍대점,추리,2.1,1,1,1,2 people,,,,,,,
홍대,장기밀매,큐브 이스케이프 홍대점,스릴러,1.7,3,2,1,2 people,3 people,,,,,,
홍대,서리브럼,브레이크아웃 이스케이프 홍대점,드라마,3,5,2,2,3 people,4 people,,,,,,
홍대,흥보와 놀보,마스터키 상수점,코미디,3.1,3,1,1,2 people,3 people,,,,,,
홍대,도시괴담 Part.2 ‘The Abandoned Office’,마스터키 상수점,공포,3.2,4,2,1,2 people,3 people,,,,,,
홍대,쇼생크 탈출,미스터리룸 이스케이프 홍대2호점,범죄,3.1,3,2,2,2 people,3 people,,,,,,
홍대,업사이드 다운,오아시스 홍대점,모험,4.3,3,2,1,2 people,3 people,4 people,,,,,
홍대,라이트 아웃,ESC 홍대점,스릴러,2.4,3,1,1,2 people,3 people,,,,,,
홍대,잭 더 리퍼,셜록홈즈 홍대점,스릴러,3,4,1,2,4 people,,,,,,,
홍대,어느 가을날,마스터키 상수점,?,3.3,2,1,1,2 people,3 people,,,,,,
홍대,전래동 자살사건,비트포비아 던전101,추리,4.3,4,2,2,2 people,3 people,4 people,,,,,
홍대,수상한 한의원,브레이크아웃 이스케이프 홍대점,잠입,2.9,4,3,3,3 people,,,,,,,
홍대,Furious Revenge(남자방),디코더,잠입,3.6,3,3,1,2 people,3 people,,,,,,
홍대,임파서블,이스케이프 하우스,잠입,2.7,3,1,2,3 people,,,,,,,
홍대,여신의 눈물 : 코이누르,ESC 홍대점,범죄,2.2,2,2,1,2 people,3 people,,,,,,
홍대,산타 캐빈,더큐 이스케이프 홍대입구역점,스릴러,2.4,3,1,1,3 people,,,,,,,
홍대,제페토,시크릿코드 홍대점,모험,2.8,3,1,2,2 people,3 people,,,,,,
홍대,꿈의 공장,비트포비아 홍대던전,판타지,3.9,3,2,3,2 people,3 people,4 people,,,,,
홍대,기담,덤앤더머 홍대점,추리,3.2,5,2,2,3 people,4 people,,,,,,
홍대,MST 엔터테인먼트,비트포비아 던전101,잠입,4.1,3,2,1,2 people,3 people,4 people,,,,,
홍대,MISSING,히든스위치 홍대점,SF,4,4,3,1,2 people,3 people,4 people,,,,,
홍대,녹,엑스케이프 홍대점,스릴러,2.8,3,2,2,2 people,3 people,,,,,,
홍대,SAW : 0KG,미스터리룸 이스케이프 홍대2호점,스릴러,4,5,2,1,3 people,,,,,,,
강남,죽지않아,이룸에이트,19금,3.3,3,2,1,2 people,3 people,4 people,,,,,
강남,손 없는 날,이스케이프 샾,공포,3.4,3,2,1,2 people,3 people,,,,,,
강남,인형괴담,미스터리 룸 이스케이프 강남점,공포,3.6,3,3,1,2 people,3 people,4 people,,,,,
