도둑들,셜록홈즈 노원점,http://sherlock-holmes.co.kr/attach/theme/15105462071.jpg,-,-,"유명화가의 희귀품만전시해서 그 가치가 높은 크라임 미술관, 이곳은 보안으로도 유명해 한번도 도둑맞은 적이 없다. 당신은 이곳을 털기위해 천재해커 빌리와 손을 잡게 되고 빌리가 한시간동안 경비 시스템을 마비 시킬 수 있다는데..자 주어진 시간은 한시간! 미술관을 털어라!"
웨딩크루즈 살인사건-2탄,셜록홈즈 뉴안양점,http://sherlock-holmes.co.kr/attach/theme/15928171051.jpg,추리,-,"거대 부호 김만술과 그의 아내 미치코는 결혼생활 10주년을 기념하기 위해 호화 크루즈 여행을 떠나게 되었다, 로맨틱한 웨딩 크루즈 여행을 꿈꿨것만.. 크루즈 안에서 김만술은 시체로 발견된다. 용의자는 김만술씨의 아내 미치코를 포함한 탑승객 4명! 크루즈 여행으로 휴가길에 올랐던 명탐정 셜록홈즈는 여행길에서 다시 살인사건을 맡게 되는데..?!"
중고로운 평화나라,셜록홈즈 뉴안양점,http://sherlock-holmes.co.kr/attach/theme/15921906361.jpg,코미디스릴러,-,다가오는 여자친구와의 기념일. 여자친구에게 명품백을 선물해주고 싶지만 너무 높은 가격에 좌절하게 되는 한남자.. 결국 그가 찾게 된 것은 중고거래 사이트에서 발견한 감쪽같은 명품가방! 이 이야기의 끝은 어떻게 될 것인지!
황금 감옥 : 와캄,셜록홈즈 대구동성로점,http://sherlock-holmes.co.kr/attach/theme/15879559821.jpg,-,-,지금까지 봐왔던 감옥들과는 사뭇 다른 분위기의 낯선 감옥. 그 안에서 펼쳐진 끝을 알 수 없는 새로운 이야기. 이전까지 경험할 수 없었던 색다른 테마가 당신을 기다립니다.
지프리트의 심장,셜록홈즈 대구동성로점,http://sherlock-holmes.co.kr/attach/theme/15847493791.jpg,판타지,-,"[플리퍼 시티 에피소드 01] 잊혀진 이야기 속에 전해지는 순수 에너지의 결정체 ""지프리트의 심장""을 찾기 위해 플리퍼 시티를 헤매던 일행. 마을 외곽의 한 골동품 점에서 가고자 하는 곳의 좌표를 알려준다는 검은 주사위를 얻는다. 검은 주사위가 만들어 준 좌표를 통해 도착한 곳은 알 수 없는 낡은 기관실. 그곳의 수수께끼를 풀고 지프리트의 심장을 찾아낼 수 있을까"
단잠,셜록홈즈 대구동성로점,http://sherlock-holmes.co.kr/attach/theme/15614261891.jpg,감성,-,"몸도 마음도 지친 퇴근길, 지하철역에서 마주한 낯선 포스터 하나. 지친 당신에게 위로가 될 피아노 콘서트 : 단잠. 지금 시작합니다."
랑슈 뷰티연구소,셜록홈즈 대구동성로점,http://sherlock-holmes.co.kr/attach/theme/15610958651.jpg,드라마,-,당신의 아름다움을 찾아드립니다.
피플인사이드 (40분),셜록홈즈 대전 신세계백화점,http://sherlock-holmes.co.kr/attach/theme/16318581131.jpg,협동,-,주어진시간 40분 남녀노소 국적 상관없이 모두가 즐겁게 즐길 수 있는 아케이드형 방탈출 피플인사이드. 각자 방에갇혀 서로협동을 통해 탈출해야 합니다.
무한의 던전 (20분),셜록홈즈 대전 신세계백화점,http://sherlock-holmes.co.kr/attach/theme/16312475121.jpg,탈출,-,주어진 시간은 20분. 탈출구를 찾아 탈출하는것이 목표입니다.
언더월드,셜록홈즈 대전 신세계백화점,http://sherlock-holmes.co.kr/attach/theme/16297797541.jpg,판타지,-,스팀펑크시대의 개구쟁이천재소녀발명가 조이! 갖가지 발명품들을 만들며 지내고있다 오늘도의뢰받은물건을 배달해보실까!
죽음의 신,셜록홈즈 대전 신세계백화점,http://sherlock-holmes.co.kr/attach/theme/16293576611.jpg,-,-,오늘의 마지막 손님을 모시러 갑니다
지프리트의 심장,셜록홈즈 대전 신세계백화점,http://sherlock-holmes.co.kr/attach/theme/16293569191.jpg,판타지,-,"[플리퍼 시티 에피소드 01] 잊혀진 이야기 속에 전해지는 순수 에너지의 결정체 ""지프리트의 심장""을 찾기 위해 플리퍼 시티를 헤매던 일행. 마을 외곽의 한 골동품 점에서 가고자 하는 곳의 좌표를 알려준다는 검은 주사위를 얻는다. 검은 주사위가 만들어 준 좌표를 통해 도착한 곳은 알 수 없는 낡은 기관실. 그곳의 수수께끼를 풀고 지프리트의 심장을 찾아낼 수 있을까"
미녀와야수2,셜록홈즈 대학로점,http://sherlock-holmes.co.kr/attach/theme/15508014821.jpg,-,-,벨의 아버지는 딸에게 줄 장미를 꺾은 죄로 야수의 성에 갖히게된다. 아버지를 구하기 위해 야수의 성을 찾아가는 벨 야수의 성에는 놀라운 비밀이 있는데.. 비밀을 밝혀내는 과정에서 야수와의 사랑에 빠지게 되고 과연 두사람은 역경을 겪어내고 사랑의 결실을 이룰수 있을까? 원작의 스토리에 충실한 영화형 방탈출카페가 여러분을 기다립니다.
무속인 살인사건,셜록홈즈 대학로점,http://sherlock-holmes.co.kr/attach/theme/15138466051.jpg,-,-,"TV에 출연할 정도로 유명한 무속인 이 어느 날 싸늘한 시체로 발견? 피해자는 TV에 출연하여 화려한 달변과 점술로 유명해진 박수무당으로, 어느 날 자신의 점집에서 잘린 머리가 불에 탄 채 단골 고객에게 발견되었다. 과연 어떠한 연유로 박무당 은 죽음을 맞이해야 했는가? 빛나는 추리로 진실을 파헤쳐 보자."
