테마이름,장르,추천인원수,소속지점,이미지경로
이상,"장르
추리","추천 인원수
2~4",넥스트에디션 넥스트에디션 부평점,https://www.nextedition.co.kr/shops/NextEdition%20Bupyung
Battleship Project B,"장르
판타지","추천 인원수
2~5",넥스트에디션 넥스트에디션 부평점,https://www.nextedition.co.kr/shops/NextEdition%20Bupyung
Battleship Project A,"장르
SF / 대결","추천 인원수
2~8",넥스트에디션 넥스트에디션 부평점,https://www.nextedition.co.kr/shops/NextEdition%20Bupyung
소울리스,"장르
소울리스","추천 인원수
2~6",넥스트에디션 넥스트에디션 부평점,https://www.nextedition.co.kr/shops/NextEdition%20Bupyung
SHIT,"장르
추리(코믹)","추천 인원수
2~4",넥스트에디션 넥스트에디션 부평점,https://www.nextedition.co.kr/shops/NextEdition%20Bupyung
THISMAN,"장르
드라마","추천 인원수
2~6",넥스트에디션 넥스트에디션 부평점,https://www.nextedition.co.kr/shops/NextEdition%20Bupyung
주르륵,"장르
드라마","추천 인원수
2~5",넥스트에디션 넥스트에디션 부천점,https://www.nextedition.co.kr/shops/NextEdition%20Bucheon
쌩얼,"장르
연애","추천 인원수
2~5",넥스트에디션 넥스트에디션 부천점,https://www.nextedition.co.kr/shops/NextEdition%20Bucheon
집으로,"장르
스릴러","추천 인원수
2~5",넥스트에디션 넥스트에디션 부천점,https://www.nextedition.co.kr/shops/NextEdition%20Bucheon
진시황,"장르
어드벤쳐(활동성 갑)","추천 인원수
2~5",넥스트에디션 넥스트에디션 부천점,https://www.nextedition.co.kr/shops/NextEdition%20Bucheon
썸,"장르
연애","추천 인원수
2~4",넥스트에디션 넥스트에디션 건대점,https://www.nextedition.co.kr/shops/NextEdition%20Gundae
다시봄,"장르
드라마","추천 인원수
2~4",넥스트에디션 넥스트에디션 건대점,https://www.nextedition.co.kr/shops/NextEdition%20Gundae
MONSTER:10800,"장르
판타지","추천 인원수
2~4",넥스트에디션 넥스트에디션 건대점,https://www.nextedition.co.kr/shops/NextEdition%20Gundae
B아파트 13동 1313호,"장르
공포","추천 인원수
2~4",넥스트에디션 넥스트에디션 건대점,https://www.nextedition.co.kr/shops/NextEdition%20Gundae
이불밖은 위험해,"장르
드라마","추천 인원수
2~4",넥스트에디션 넥스트에디션 건대점,https://www.nextedition.co.kr/shops/NextEdition%20Gundae
화이트룸 (Original),"장르
감성 / 문제방","추천 인원수
2~4",넥스트에디션 넥스트에디션 신촌점,https://www.nextedition.co.kr/shops/NextEdition%20Sinchon
더 매직,"장르
코믹 / 감성","추천 인원수
2~6",넥스트에디션 넥스트에디션 신촌점,https://www.nextedition.co.kr/shops/NextEdition%20Sinchon
13여고괴담,"장르
공포","추천 인원수
2~4",넥스트에디션 넥스트에디션 신촌점,https://www.nextedition.co.kr/shops/NextEdition%20Sinchon
천사와 악마,"장르
추리","추천 인원수
2~4",넥스트에디션 넥스트에디션 신촌점,https://www.nextedition.co.kr/shops/NextEdition%20Sinchon
그레이 in 인셉션 (19금),"장르
성인","추천 인원수
2~3",넥스트에디션 넥스트에디션 신촌점,https://www.nextedition.co.kr/shops/NextEdition%20Sinchon
인디아나존스,"장르
어드벤쳐","추천 인원수
2~4",넥스트에디션 넥스트에디션 신촌점,https://www.nextedition.co.kr/shops/NextEdition%20Sinchon
